"Protein","tstat_source","tstat_target","pval_source","pval_target","flag_source","flag_target","source_target_agreement"
"RS14_HUMAN",2.107398106736,-0.731050775461913,0.0357819963804744,0.466510169573892,1,0,0
"TCPZ_HUMAN",1.0834900544197,-0.0700906970940021,0.279325278239174,0.94426221814661,0,0,1
"TKT_HUMAN",-1.26651978123733,1.00056144850254,0.206155158238025,0.319328580271168,0,0,1
"ROA0_HUMAN",-0.454719815431009,0.51939748872081,0.649588041405251,0.604632712421086,0,0,1
"PSMD1_HUMAN",0.270506204510412,-0.00254666559199356,0.786927603852576,0.99797302723383,0,0,1
"IF4G1_HUMAN",0.165679664615908,-1.18432443692714,0.868503179019296,0.238990239125517,0,0,1
"PRDX1_HUMAN",-0.504357459541391,2.06306227600904,0.614322223488839,0.0414178150550978,0,1,0
"MOGS_HUMAN",0.944415841364978,-0.677706021624297,0.345598422175775,0.499414386412258,0,0,1
"SEPT2_HUMAN",0.194401447401706,-0.213815385082271,0.845972678991297,0.831137690841408,0,0,1
"STRAP_HUMAN",0.164260362201131,1.07430573498013,0.869619447144779,0.285129166571597,0,0,1
"GBB2_HUMAN",-0.120352336294882,-0.419273479000339,0.904272034924507,0.675912145946675,0,0,1
"MATR3_HUMAN",-0.34744858076401,1.3344317749218,0.728459812084011,0.184908482121054,0,0,1
"CAPR1_HUMAN",-0.448202875302294,0.355856050065873,0.654279436811445,0.722676597382976,0,0,1
"ESTD_HUMAN",-1.69223265748082,2.43579924702941,0.0914866540556729,0.0165232095666605,0,1,0
"MDHC_HUMAN",-2.3721837168782,2.18789222010469,0.0182264993408073,0.0310220286973321,-1,1,0
"IDHC_HUMAN",-1.78279296609118,2.68177049071373,0.075474986052017,0.00850950329639552,0,1,0
"VDAC1_HUMAN",1.29640839968309,-0.080720685061085,0.195677648239531,0.93582893412111,0,0,1
"HCDH_HUMAN",-0.122428857486601,1.79132258109195,0.902628519007951,0.0758196577626283,0,0,1
"P5CS_HUMAN",0.696882448802077,1.62556998089212,0.48633117293437,0.106621033498017,0,0,1
"CAZA1_HUMAN",0.123736400656137,-0.41215510558645,0.901594128678562,0.681101302469986,0,0,1
"LMNA_HUMAN",0.939707214945424,0.411304931964429,0.348005460552443,0.681674561906183,0,0,1
"RL4_HUMAN",0.869299696907176,0.427656749497277,0.385270285754208,0.66981354837664,0,0,1
"TLN1_HUMAN",-0.333966969358625,-0.00470405642869881,0.738601216009148,0.996256253988491,0,0,1
"NP1L4_HUMAN",-1.11083800059279,1.29148425023013,0.267391927004786,0.199699933109771,0,0,1
"NUCL_HUMAN",0.301105921091199,0.784994372501451,0.76350974122128,0.434509379227302,0,0,1
"VINC_HUMAN",-0.459046154970573,0.720038337049201,0.646481504244182,0.473070459034721,0,0,1
"TPM3_HUMAN",0.933396679686691,0.148867444293751,0.351248727225641,0.881941842013172,0,0,1
"FUMH_HUMAN",0.9784663243228,1.09495277727525,0.328512122517821,0.276048024996045,0,0,1
"CALX_HUMAN",1.55832497470717,-1.169263895752,0.120051098196312,0.244838705819439,0,0,1
"CAND1_HUMAN",-1.25914587050655,-1.5024298909553,0.208836663001852,0.13578056035699,0,0,1
"S10AG_HUMAN",-1.4790582941954,-2.35384387616019,0.140040985034827,0.0204086256628322,0,-1,0
"YBOX1_HUMAN",0.242412805356021,-0.120697589243365,0.80859991763335,0.904162729651014,0,0,1
"C1TC_HUMAN",-0.59953098760732,-1.38888201423221,0.549202492076089,0.167734078884005,0,0,1
"H15_HUMAN",0.46944644852631,-2.26427605672403,0.639037950736176,0.0259454592826381,0,-1,0
